home_score,away_score,empate,dif_gol,local,visitante,num_continente_local,num_continente_visitante,num_continente_anfitrion
0,1,False,-1,66,76,3,1,2
2,1,False,1,10,14,4,1,2
4,1,False,3,19,15,2,1,2
0,1,False,-1,8,2,1,1,2
2,1,False,1,28,44,2,2,2
0,0,True,0,56,56,2,2,2
2,0,False,2,38,76,2,1,2
1,0,False,1,25,5,2,2,2
1,2,False,-1,67,78,2,2,2
1,0,False,1,38,55,2,2,2
0,0,True,0,79,2,2,1,2
2,3,False,-1,10,24,4,2,2
1,0,False,1,28,18,2,2,2
1,1,True,0,38,2,2,1,2
1,1,True,0,28,24,2,2,2
2,1,False,1,38,24,2,2,2
1,0,False,1,28,2,2,1,2
1,0,False,1,28,6,2,1,1
2,2,True,0,67,65,2,3,1
1,3,False,-2,14,56,1,2,1
0,1,False,-1,38,55,2,2,1
1,1,True,0,76,68,1,2,1
1,0,False,1,5,43,2,4,1
2,2,True,0,10,67,4,2,1
1,0,False,1,49,42,2,1,1
2,0,False,2,8,57,1,2,1
2,1,False,1,44,58,2,3,1
4,0,False,4,2,29,1,2,1
1,1,True,0,28,66,2,2,1
3,0,False,3,46,9,4,2,1
1,4,False,-3,57,68,2,2,1
2,1,False,1,76,14,1,1,1
1,0,False,1,38,49,2,2,1
0,0,True,0,66,6,3,1,1
3,0,False,3,8,10,1,4,1
2,1,False,1,42,55,1,2,1
3,1,False,2,68,57,2,2,1
2,1,False,1,2,46,1,4,1
1,0,False,1,5,44,2,2,1
2,1,False,1,59,43,3,4,1
4,0,False,4,9,29,2,2,1
0,2,False,-2,69,14,2,1,1
0,1,False,-1,76,56,1,2,1
1,3,False,-2,6,66,1,2,1
3,2,False,1,28,65,2,3,1
1,1,True,0,8,67,1,2,1
0,0,True,0,56,49,2,2,1
1,1,True,0,38,42,2,1,1
6,1,False,5,58,10,2,4,1
0,1,False,-1,5,58,2,3,1
1,2,False,-1,43,44,4,2,1
0,2,False,-2,2,9,1,2,1
0,2,False,-2,30,46,2,4,1
3,2,False,1,28,5,2,2,1
3,0,False,3,67,68,2,2,1
3,2,False,1,57,2,2,1,1
1,3,False,-2,59,67,3,2,1
2,0,False,2,44,55,2,2,1
0,1,False,-1,76,8,1,1,1
1,1,True,0,42,9,1,2,1
1,2,False,-1,46,37,4,2,1
2,1,False,1,38,66,2,2,1
2,3,False,-1,44,8,2,1,1
2,1,False,1,9,27,2,2,1
2,2,True,0,57,67,2,2,1
1,2,False,-1,9,37,2,2,1
0,1,False,-1,68,8,2,1,1
4,0,False,4,68,9,2,2,1
0,0,True,0,8,37,1,2,1
2,1,False,1,8,59,1,2,2
2,2,True,0,43,49,4,2,2
1,1,True,0,10,4,4,2,2
2,2,True,0,38,12,2,1,2
3,0,False,3,26,64,2,4,2
0,0,True,0,51,9,1,2,2
0,1,False,-1,59,19,3,2,2
1,3,False,-2,66,42,3,1,2
0,0,True,0,44,5,2,2,2
2,3,False,-1,67,46,2,4,2
1,0,False,1,2,40,1,3,2
1,3,False,-2,40,16,1,2,2
1,0,False,1,62,35,2,3,2
2,0,False,2,25,71,2,4,2
2,0,False,2,28,75,2,1,2
1,0,False,1,57,14,2,1,2
3,0,False,3,8,43,1,4,2
1,1,True,0,60,49,2,2,2
1,1,True,0,12,4,1,2,2
3,0,False,3,38,10,2,4,2
4,0,False,4,26,58,2,3,2
1,1,True,0,65,19,4,2,2
1,0,False,1,46,9,4,2,2
0,0,True,0,67,51,2,1,2
2,2,True,0,5,42,2,1,2
0,1,False,-1,41,16,3,2,2
5,0,False,5,44,65,2,3,2
5,0,False,5,2,39,1,1,2
2,2,True,0,28,61,2,2,2
1,2,False,-1,76,35,1,3,2
1,0,False,1,14,71,1,4,2
2,1,False,1,57,24,2,2,2
1,2,False,-1,8,49,1,2,2
1,1,True,0,12,10,1,4,2
2,1,False,1,38,4,2,2,2
0,3,False,-3,60,43,2,4,2
2,1,False,1,26,19,2,2,2
1,3,False,-2,46,51,4,1,2
2,2,True,0,65,58,4,3,2
6,1,False,5,67,9,2,2,2
1,1,True,0,5,65,2,3,2
2,0,False,2,28,35,2,3,2
2,2,True,0,44,42,2,1,2
0,1,False,-1,76,61,1,2,2
1,0,False,1,2,16,1,2,2
0,2,False,-2,14,24,1,2,2
1,2,False,-1,41,39,3,1,2
1,1,True,0,57,71,2,4,2
4,1,False,3,8,12,1,1,2
1,0,False,1,38,49,2,2,2
1,0,False,1,26,51,2,1,2
1,4,False,-3,46,19,4,2,2
2,1,False,1,28,42,2,1,2
2,1,False,1,44,61,2,2,2
2,2,True,0,2,24,1,2,2
0,1,False,-1,57,16,2,2,2
3,2,False,1,8,19,1,2,2
0,0,True,0,26,37,2,2,2
0,3,False,-3,28,16,2,2,2
2,1,False,1,44,2,2,1,2
1,1,True,0,8,44,1,2,2
2,1,False,1,26,16,2,2,2
1,2,False,-1,44,16,2,2,2
